frame x   y sz
  0  59  45 19
  1  61  45 18
  2  69  44 17
  3  79  42 16
  4  91  42 16
  5 103  43 16
  6 108  42 16
  7 110  44 17
  8 106  42 16
  9  99  42 15
 10  95  42 16
 11  95  41 17
 12  96  39 18
 13  96  38 18
 14  98  38 18
 15 101  39 18
 16 103  43 19
 17 103  45 19
 18 100  45 18
 19  97  48 19
 20  95  53 20
 21  95  53 20
 22  98  53 21
 23  99  51 21
 24  99  49 20
 25  99  47 21
 26  99  46 21
 27 100  46 21
 28 100  48 20
 29  99  49 20
 30  98  48 19
 31  95  48 18
 32  93  49 17
 33  92  50 16
 34  93  51 16
 35  93  51 16
 36  92  52 16
 37  91  52 16
 38  85  52 17
 39  79  56 18
 40  72  58 19
 41  68  59 20
 42  68  57 20
 43  66  52 19
 44  66  48 18
 45  65  48 17
 46  64  48 16
 47  62  47 15
 48  61  47 15
 49  60  47 15
 50  60  46 15
 51  62  45 15
 52  63  44 16
 53  63  40 15
 54  65  39 15
 55  65  38 15
 56  63  37 16
 57  60  40 17
 58  55  44 18
 59  52  45 19
 60  51  46 19
 61  57  48 20
 62  62  50 21
 63  65  56 22
 64  72  57 23
 65  64  59 24
 66  39  65 25
 67  25  61 24
 68  31  65 25
 69  40  65 25
 70  25  64 25
 71  29  65 24
 72  25  64 25
 73  25  65 25
 74  25  65 25
 75  28  65 25
 76  33  65 24
 77  32  64 23
 78  24  67 24
 79  34  59 23
 80  47  58 22
 81  55  58 22
 82  59  60 23
 83  47  67 23
 84  40  67 24
 85  45  65 24
 86  33  65 23
 87  35  67 24
 88  39  65 24
 89  42  65 23
 90  44  67 24
 91  51  64 23
 92  54  67 24
 93  56  63 24
 94  53  57 23
 95  57  52 22
 96  58  50 21
 97  60  49 21
 98  71  48 20
 99  70  46 19
100  75  44 18
101  78  43 17
102  84  41 16
103  86  40 15
104  87  40 15
105  89  42 17
106  90  43 18
107  90  43 18
108  90  43 18
109  91  43 18
110  93  43 18
111  94  42 17
112  93  42 16
113  92  40 15
114  91  41 15
115  92  41 15
116  89  41 16
117  88  40 17
118  88  38 17
119  89  38 17
120  91  37 17
121  92  37 17
122 107  41 16
123 102  42 15
124  91  35 16
125  87  32 15
126  86  33 17
127  84  34 18
128  84  34 19
129  83  33 19
130  84  32 19
131  83  31 19
132  85  29 18
133  87  30 18
134  89  31 18
135  91  32 18
136  93  33 18
137  94  32 18
138  94  32 18
139  95  31 18
140  96  30 18
141  94  30 17
142  92  30 17
143  91  28 18
144  87  28 17
145  84  29 16
146  82  28 16
147  80  28 15
148  77  31 16
149  73  34 16
150  70  38 16
151  65  40 17
152  61  43 17
153  56  44 18
154  55  44 18
155  52  43 17
156  48  43 17
157  49  43 16
158  34  39 15
159  32  40 15
160  43  45 17
161  42  45 18
162  29  39 17
163  28  39 18
164  25  40 18
165  30  42 18
166  39  44 18
167  45  44 18
168  46  46 19
169  43  48 19
170  40  49 19
171  41  50 20
172  40  51 21
173  34  55 21
174  48  55 20
175  46  52 20
176  47  52 20
177  46  55 21
178  31  55 21
179  29  55 21
180  42  60 22
181  49  60 22
182  52  61 22
183  54  61 21
184  52  57 20
185  46  51 21
186  49  51 21
187  52  52 22
188  56  53 23
189  55  54 24
190  55  55 24
191  53  56 24
192  50  56 23
193  51  56 22
194  53  56 21
195  55  57 20
196  57  57 19
197  57  55 19
198  56  54 19
199  55  53 18
200  55  53 18
